"Fname","Lname","Party","District","Vote"
"Thomas M. ","Bakk","DFL",6,"Y"
"Michelle R. ","Benson","R",49,"N"
"Terri E. ","Bonoff","DFL",43,"Y"
"David M. ","Brown","R",16,"N"
"John ","Carlson","R",4,"Y"
"Roger C. ","Chamberlain","R",53,"N"
"Richard J. ","Cohen","DFL",64,"Y"
"Gary H. ","Dahms","R",21,"N"
"Theodore J. ""Ted""","Daley","R",38,"N"
"Al ","DeKruif","R",25,"N"
"D. Scott ","Dibble","DFL",60,"N"
"Kari ","Dziedzic","DFL",59,"N"
"Chris A. ","Eaton","DFL",46,"N"
"Michelle L. ","Fischbach","R",14,"Y"
"Paul E. ","Gazelka","R",12,"N"
"Chris ","Gerlach","R",37,"N"
"Joe ","Gimse","R",13,"Y"
"Barb ","Goodwin","DFL",50,"Y"
"Dan D. ","Hall","R",40,"N"
"David W. ","Hann","R",42,"N"
"John M. ","Harrington","DFL",67,"Y"
"Jeff ","Hayden","DFL",61,"N"
"Linda ","Higgins","DFL",58,"Y"
"Gretchen M. ","Hoffman","R",10,"N"
"John ","Howe","R",28,"N"
"Bill ","Ingebrigtsen","R",11,"Y"
"Michael J. ","Jungbauer","R",48,"Y"
"Kenneth S. ","Kelash","DFL",63,"Y"
"Amy T. ","Koch","R",19,"Y"
"Benjamin A. ","Kruse","R",47,"N"
"Lyle","Koenen","DFL",20,"Y"
"Keith ","Langseth","DFL",9,"Y"
"Ron ","Latz","DFL",44,"Y"
"Ted H. ","Lillie","R",56,"N"
"Warren ","Limmer","R",32,"N"
"Tony ","Lourey","DFL",8,"N"
"Doug ","Magnus","R",22,"Y"
"John ","Marty","DFL",54,"N"
"Mary Jo ","McGuire","DFL",66,"N"
"James P. ","Metzen","DFL",39,"Y"
"Geoff ","Michel","R",41,"Y"
"Jeremy R. ","Miller","R",31,"Y"
"Carla J. ","Nelson","R",30,"Y"
"Scott J. ","Newman","R",18,"N"
"Sean R. ","Nienow","R",17,"N"
"Gen ","Olson","R",33,"Y"
"Julianne E. ","Ortman","R",34,"N"
"Sandra L. ","Pappas","DFL",65,"O"
"Mike ","Parry","R",26,"N"
"John C. ","Pederson","R",15,"Y"
"Roger J. ","Reinert","DFL",7,"Y"
"Ann H. ","Rest","DFL",45,"Y"
"Claire A. ","Robling","R",35,"Y"
"Julie A. ","Rosen","R",24,"Y"
"Tom ","Saxhaug","DFL",3,"Y"
"David H. ","Senjem","R",29,"Y"
"Kathy ","Sheran","DFL",23,"Y"
"Katie ","Sieben","DFL",57,"Y"
"Rod ","Skoe","DFL",2,"Y"
"Dan ","Sparks","DFL",27,"Y"
"LeRoy A. ","Stumpf","DFL",1,"Y"
"Dave ","Thompson","R",36,"N"
"David J. ","Tomassoni","DFL",5,"Y"
"Patricia ","Torres Ray","DFL",62,"N"
"Ray ","Vandeveer","R",52,"N"
"Charles W. ","Wiger","DFL",55,"Y"
"Pam ","Wolf","R",51,"N"
